table_name,table_description,column_1_name,column_1_description,column_2_name,column_2_description,column_3_name,column_3_description,column_4_name,column_4_description,column_5_name,column_5_description,column_6_name,column_6_description,column_7_name,column_7_description,column_8_name,column_8_description,column_9_name,column_9_description,column_10_name,column_10_description,column_11_name,column_11_description,column_12_name,column_12_description,column_13_name,column_13_description,column_14_name,column_14_description,column_15_name,column_15_description,column_16_name,column_16_description,column_17_name,column_17_description,column_18_name,column_18_description,column_19_name,column_19_description,column_20_name,column_20_description,column_21_name,column_21_description
alert_config,此SQL文件用于创建用于存储告警配置的表 alert_config。 --     表中记录了告警配置信息，包括告警标识、创建与更新时间、启用状态、告警严重度、 --     关联消息模板、关联规则引擎、租户信息等，便于系统后续对告警的管理和处理。,id,告警配置id，主键，用于唯一标识每个告警配置,create_by,创建者，记录创建该记录的用户ID,create_dept,创建部门，记录创建该记录的部门ID,create_time,创建时间，记录记录创建的时间,update_by,更新者，记录最后一次更新该记录的用户ID,update_time,更新时间，记录最后一次更新的时间,create_at,创建时间戳，可能用于记录精确的创建时间（与create_time含义可能重叠）,description,描述，对告警配置的详细说明,enable,是否启用，标识告警配置当前的启用状态（如1：启用，0：禁用）,level,告警严重度，表示告警的严重级别（例如：低、中、高）,message_template_id,关联消息转发模板ID，用于指定转发告警信息的消息模板,name,告警名称，用于识别和展示告警配置,rule_info_id,关联规则引擎ID，用于关联执行告警判断的规则引擎,tenant_id,租户ID，用于多租户系统中标识所属租户,uid,配置所属用户，标识该告警配置具体归属于哪个用户
alert_record,此SQL文件用于创建存储告警记录的表 alert_record。 --     表中记录了告警的详细信息，包括告警记录标识、创建时间、告警触发时间、 --     告警详情、严重度等级、是否已读状态等，便于系统对告警记录进行存储、查询和历史追踪。,id,告警记录id，用于唯一标识每条告警记录,create_by,创建者，记录创建该告警记录的用户ID,create_dept,创建部门，记录创建该记录的部门ID,create_time,创建时间，记录记录生成的时间,update_by,更新者，记录最后一次更新该记录的用户ID,update_time,更新时间，记录最后一次更新该记录的时间,alert_time,告警时间，记录告警触发的具体时间（使用时间戳格式）,details,告警详情，记录告警的具体描述和相关信息,level,告警严重度（1-5），表示告警的严重等级，数值范围1至5,name,告警名称，用于描述或标识告警的类型,read_flg,是否已读，标识告警记录是否已被查看（1：已读，0：未读）,tenant_id,租户ID，用于标识记录所属的租户，支持多租户环境,uid,配置所属用户，记录该告警记录对应的用户标识
device_sub_user,该SQL文件用于创建设备子用户表 device_sub_user。 --     该表用于存储与设备关联的子用户信息，包括设备与子用户之间的关联关系。,id,子用户关联记录ID，主键，唯一标识每个设备与子用户的关联关系,create_by,创建者，记录创建该子用户关联关系的用户ID,create_dept,创建部门，记录创建该子用户关联关系的部门ID,create_time,创建时间，记录该子用户关联关系的创建时间,update_by,更新者，记录最后一次更新该子用户关联关系的用户ID,update_time,更新时间，记录最后一次更新该子用户关联关系的时间,device_id,设备ID，外键，指向设备表，表示该子用户关联的设备,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,uid,设备用户ID，标识与设备关联的子用户的唯一标识
device_tag,该SQL文件用于创建设备标签表 device_tag。 --     该表用于存储设备的扩展标签信息，支持为设备添加自定义属性标签。,id,主键ID，唯一标识标签记录，建议使用UUID或雪花算法生成,create_by,创建者用户ID，外键关联用户表(user.id),create_dept,创建部门ID，外键关联部门表(dept.id),create_time,记录创建时间（UTC时区），格式: YYYY-MM-DD HH:MM:SS,update_by,最后更新者用户ID，外键关联用户表(user.id),update_time,最后更新时间（UTC时区），格式: YYYY-MM-DD HH:MM:SS,code,标签业务编码（需保证唯一性），如 TEMPERATURE_SENSOR,device_id,外键关联设备表(device.id)，标识标签所属设备,name,标签展示名称（如中文名称），如 温度传感器,tenant_id,租户ID，外键关联租户表(tenant.id)，实现多租户数据隔离,value,标签值，存储实际业务数据（如 36.5），单位在业务逻辑中定义
home,该SQL文件用于创建智能家庭管理表 home。 --     该表用于存储家庭基础信息及设备空间元数据，支持多租户家庭体系管理。,id,主键ID，唯一标识家庭记录，建议使用雪花算法生成,create_by,创建者用户ID，外键关联用户表(user.id),create_dept,创建部门ID，外键关联部门表(dept.id),create_time,记录创建时间（UTC时区），格式: YYYY-MM-DD HH:MM:SS,update_by,最后更新者用户ID，外键关联用户表(user.id),update_time,最后更新时间（UTC时区），格式: YYYY-MM-DD HH:MM:SS,address,家庭物理地址，格式: 国家+省市区+详细地址，如 中国北京市海淀区xx路10号,current,当前使用标识（1:是 0:否），每个用户最多有1个当前家庭,device_num,设备总数（需通过触发器或应用逻辑维护，与device表实时同步）,name,家庭名称（用户自定义），如 幸福之家,space_num,空间总数（需通过space表统计维护，如客厅/卧室等）,tenant_id,租户ID，外键关联租户表(tenant.id)，实现多租户数据隔离,user_id,所属用户ID，外键关联用户表(user.id)，标识家庭管理员
icon,该SQL文件用于创建图标表 icon。 --     该表用于存储系统中的图标信息，支持图标内容、分类、版本等管理。,id,图标ID，主键，唯一标识每个图标记录,create_by,创建者，记录创建该图标的用户ID,create_dept,创建部门，记录创建该图标的部门ID,create_time,创建时间，记录图标的创建时间,update_by,更新者，记录最后一次更新该图标的用户ID,update_time,更新时间，记录最后一次更新该图标的时间,icon_content,图标内容，存储图标的具体数据或内容（如SVG代码等）,icon_name,图标名称，标识图标的名称,icon_type_id,图标分类ID，外键，指向图标分类表，表示该图标的类型或类别,tenant_id,租户ID，用于标识图标所属的租户，支持多租户系统,version,图标版本，标识该图标的版本信息,view_box,视窗缩放，图标视窗的属性（如SVG中的viewBox属性）,xmlns,命名空间，图标内容的命名空间（如SVG的xmlns属性）
icon_type,该SQL文件用于创建图标分类表 icon_type。 --     该表用于存储图标的分类信息，如图标所属的类型（例如系统图标、用户自定义图标等）。,id,主键ID，唯一标识每个图标分类记录,create_by,创建者，记录创建该图标分类的用户ID,create_dept,创建部门，记录创建该图标分类的部门ID,create_time,创建时间，记录图标分类的创建时间,update_by,更新者，记录最后一次更新该图标分类的用户ID,update_time,更新时间，记录最后一次更新该图标分类的时间,tenant_id,租户ID，用于标识图标分类所属的租户，支持多租户系统,type_describe,分类描述，描述该图标分类的含义或用途,type_name,分类名称，标识图标分类的名称，例如“系统图标”、“自定义图标”
modbus_info,该SQL文件用于创建Modbus设备信息表 modbus_info。 --     该表用于存储Modbus设备的配置信息，包括产品名称、productKey、用户、租户等信息。,id,主键ID，唯一标识每个Modbus设备的配置信息,create_at,创建时间，记录Modbus设备配置的创建时间,name,产品名称，标识Modbus设备的名称,product_key,产品Key，用于唯一标识Modbus设备，通常与设备的身份和权限关联,remark,说明，提供关于该Modbus设备的一些备注或描述信息,tenant_id,租户ID，标识该Modbus设备配置所属的租户，支持多租户系统,uid,配置所属用户ID，标识与该Modbus设备配置相关的用户,update_at,更新时间，记录Modbus设备配置的最后更新时间
modbus_thing_model,该SQL文件用于创建Modbus设备模型表 modbus_thing_model。 --     该表用于存储与Modbus设备相关的设备模型信息，包括模型内容、产品Key、租户等信息。,id,主键，唯一标识每个Modbus设备模型,model,模型内容，包含Modbus设备的详细模型配置，通常是JSON或类似格式的配置数据,product_key,产品Key，用于唯一标识Modbus设备，通常与设备身份和权限关联,tenant_id,租户ID，标识该Modbus设备模型所属的租户，支持多租户系统,update_at,更新时间，记录Modbus设备模型的最后更新时间
notify_message,该SQL文件用于创建通知消息表 notify_message。 --     该表用于存储系统发送的通知消息信息，包括消息内容、消息类型、状态等。,id,通知消息ID，唯一标识每条通知消息,create_by,创建者，记录该通知消息的创建者用户ID,create_dept,创建部门，记录该通知消息所属的创建部门ID,create_time,创建时间，记录通知消息的创建时间,update_by,更新者，记录最后一次更新该通知消息的用户ID,update_time,更新时间，记录最后一次更新通知消息的时间,content,消息内容，存储该通知消息的详细信息或正文,create_at,创建时间的时间戳，提供系统中的精确创建时间,message_type,消息类型，标识该通知消息的类型（如警告、信息、错误等）,status,消息状态，表示该消息是否已读或已处理（0-未读，1-已读等）,tenant_id,租户ID，用于标识该通知消息所属的租户，支持多租户系统,update_at,更新时间的时间戳，记录最后更新时间的精确时间
oauth_client,该SQL文件用于创建OAuth客户端表 oauth_client。 --     该表用于存储OAuth客户端相关信息，包括客户端ID、密钥、允许访问的URL等。,id,唯一标识每个OAuth客户端的ID,create_by,创建者，记录该OAuth客户端信息的创建者用户ID,create_dept,创建部门，记录该OAuth客户端信息所属的创建部门ID,create_time,创建时间，记录该OAuth客户端信息的创建时间,update_by,更新者，记录最后一次更新该OAuth客户端信息的用户ID,update_time,更新时间，记录最后一次更新OAuth客户端信息的时间,allow_url,允许访问的URL，指定OAuth客户端能够访问的URL列表，通常是授权回调URL,client_id,客户端ID，用于唯一标识OAuth客户端，通常用于OAuth认证流程中进行身份验证,client_secret,客户端密钥，用于OAuth认证中的客户端验证，确保只有授权的客户端可以访问资源,create_at,创建时间的时间戳，提供系统中的精确创建时间,name,客户端名称，用于描述该OAuth客户端的名称，通常为易于理解的标识,tenant_id,租户ID，标识该OAuth客户端所属的租户，支持多租户系统
oper_log,该SQL文件用于创建操作日志表 oper_log。 --     该表用于记录系统中的各种操作日志，包含操作的详细信息，如操作人员、操作内容、请求参数等。,id,日志主键，唯一标识每一条日志记录,business_type,"业务类型，区分不同的操作类型 (0 其它, 1 新增, 2 修改, 3 删除)",cost_time,消耗时间，记录操作执行的时间长度（单位：毫秒）,dept_name,部门名称，记录执行操作的部门名称,error_msg,错误消息，若操作发生错误，记录错误详细信息,json_result,返回参数，记录操作执行后的返回结果，以JSON格式存储,method,请求方法，记录被调用的方法名称,oper_ip,操作地址，记录操作的IP地址,oper_location,操作地点，记录操作发生的地理位置或设备信息,oper_name,操作人员，记录执行该操作的人员名称,oper_param,请求参数，记录发起请求时携带的参数，以JSON格式存储,oper_time,操作时间，记录具体的操作发生时间,oper_url,请求URL，记录请求的URL地址,operator_type,"操作类别，区分操作的发起者 (0 其它, 1 后台用户, 2 手机端用户)",request_method,"请求方式，记录请求的HTTP方法（GET, POST等）",status,"操作状态，记录操作的状态 (0 正常, 1 异常)",tenant_id,租户编号，标识操作所属的租户,title,操作模块，记录操作所属的模块名称
ota_device,该SQL文件用于创建OTA设备表 ota_device。 --     该表用于记录设备的OTA（Over-The-Air）升级信息，包括设备状态、版本、创建时间等。,id,主键id，唯一标识每一条OTA设备记录,create_by,创建者，记录创建该设备记录的用户ID,create_dept,创建部门，记录创建该设备记录的部门ID,create_time,创建时间，记录设备记录的创建时间,update_by,更新者，记录更新该设备记录的用户ID,update_time,更新时间，记录设备记录的最后更新时间,create_at,设备创建时间，记录设备的初次创建时间（Unix时间戳）,device_id,设备ID，唯一标识设备,device_name,设备名称，记录设备的名称或描述,status,设备状态，表示设备的当前状态，如0为离线，1为在线,tenant_id,租户ID，标识该设备所属的租户,version,设备版本，记录设备的当前软件版本
ota_package,该SQL文件用于创建OTA升级包表 ota_package。 --     该表用于记录OTA升级包的信息，包括包的版本、大小、MD5值、URL等。,id,主键id，唯一标识每一条OTA升级包记录,create_by,创建者，记录创建该OTA包记录的用户ID,create_dept,创建部门，记录创建该OTA包记录的部门ID,create_time,创建时间，记录OTA包记录的创建时间,update_by,更新者，记录更新该OTA包记录的用户ID,update_time,更新时间，记录OTA包记录的最后更新时间,create_at,OTA包创建时间，记录OTA包的创建时间（Unix时间戳）,NULL,OTA包描述，描述OTA包的内容和用途,ext_data,扩展数据，存储额外信息，如兼容设备等,is_diff,是否为差分包，0表示不是差分包，1表示是差分包,md5,OTA包的MD5校验值，用于验证包的完整性,module,OTA包的模块，表示该包包含的模块或功能,name,OTA包名称，描述该包的名称或版本标识,product_key,产品key，标识该包属于哪个产品,sign,签名，OTA包的签名用于确保包的合法性,sign_method,签名方法，描述使用的签名算法或方式,size,OTA包的大小，以字节为单位,tenant_id,租户ID，标识该OTA包所属的租户,url,OTA包的下载链接，用于设备获取包文件,version,OTA包的版本号，标识该OTA包的版本
plugin_info,该SQL文件用于创建插件信息表 plugin_info。 --     该表用于记录插件信息，包括插件名称、配置、版本、部署方式等。,id,插件信息主键id，唯一标识每一条插件记录,create_by,创建者，记录创建该插件记录的用户ID,create_dept,创建部门，记录创建该插件记录的部门ID,create_time,创建时间，记录插件信息记录的创建时间,update_by,更新者，记录更新该插件记录的用户ID,update_time,更新时间，记录插件信息记录的最后更新时间,config,插件配置信息，存储插件的配置信息，如参数等,config_schema,插件配置项描述信息，描述插件配置信息的结构和规则,deploy_type,部署方式，描述插件的部署方式，如单机、集群等,description,插件描述，描述插件的功能和用途,file,插件包地址，存储插件包文件的下载路径或位置,name,插件名称，标识插件的名称,plugin_id,插件包id，标识该插件的唯一标识符,protocol,设备插件协议类型，描述插件支持的协议类型,script,插件脚本，存储插件的脚本内容或路径,state,插件状态，描述插件的当前状态，如启用、禁用等,tenant_id,租户编号，标识该插件所属的租户,type,插件类型，描述插件的类别，如设备插件、数据处理插件等,version,插件版本，记录插件的版本号
plugin_instance,该SQL文件用于创建插件实例表 plugin_instance。 --     该表用于记录插件实例的信息，包括插件的主程序ID、心跳时间、IP地址、端口等。,id,插件实例ID，唯一标识每一条插件实例记录,create_by,创建者，记录创建该插件实例记录的用户ID,create_dept,创建部门，记录创建该插件实例记录的部门ID,create_time,创建时间，记录插件实例记录的创建时间,update_by,更新者，记录更新该插件实例记录的用户ID,update_time,更新时间，记录插件实例记录的最后更新时间,heartbeat_at,心跳时间，记录插件实例的最后心跳时间（Unix时间戳）,ip,插件主程序所在IP地址，记录插件实例所在的服务器IP,main_id,插件主程序ID，标识插件主程序的唯一标识符,plugin_id,插件ID，关联插件信息表中的插件ID,port,插件主程序端口，标识插件实例的端口号,tenant_id,租户ID，标识该插件实例所属的租户
product,该SQL文件用于创建产品表 product。 --     该表用于记录产品的信息，包括产品名称、密钥、图标、定位等。,id,产品ID，唯一标识每一条产品记录,create_by,创建者，记录创建该产品记录的用户ID,create_dept,创建部门，记录创建该产品记录的部门ID,create_time,创建时间，记录产品记录的创建时间,update_by,更新者，记录更新该产品记录的用户ID,update_time,更新时间，记录产品记录的最后更新时间,category,品类，表示产品所属的分类或类型,create_at,产品创建时间，记录产品的创建时间（Unix时间戳）,icon_id,产品图标ID，关联到图标表中的图标ID,img,产品图片，记录产品的相关图片链接,is_open_locate,是否开启设备定位，true表示开启，false表示关闭,keep_alive_time,保活时长（秒），表示设备的保活时间，单位为秒,locate_update_type,定位更新方式，记录定位更新的具体策略或方式,name,产品名称，记录产品的名称,node_type,节点类型，标识产品节点的类型（如设备、传感器等）,product_key,产品key，唯一标识该产品,product_secret,产品密钥，用于产品身份验证,tenant_id,租户ID，标识该产品所属的租户,transparent,是否透传，true表示透传，false表示不透传,uid,用户ID，记录与该产品相关联的用户ID
product_model,该SQL文件用于创建产品型号表 product_model。 --     该表用于记录产品的型号、脚本内容、产品Key等信息。,id,型号ID，唯一标识每一条型号记录,create_by,创建者，记录创建该型号记录的用户ID,create_dept,创建部门，记录创建该型号记录的部门ID,create_time,创建时间，记录型号记录的创建时间,update_by,更新者，记录更新该型号记录的用户ID,update_time,更新时间，记录型号记录的最后更新时间,model,型号，表示产品的型号,modify_at,修改时间，记录型号的最后修改时间（Unix时间戳）,name,名称，记录型号的名称,product_key,产品Key，标识该型号对应的产品,script,脚本内容，存储与该型号相关的脚本信息,state,脚本状态，表示脚本当前的状态（例如：启用、禁用）,tenant_id,租户ID，标识该型号所属的租户,type,脚本类型，表示脚本的类型（例如：初始化、更新等）
rule_info,该SQL文件用于创建规则信息表 rule_info。 --     该表用于记录规则的详细信息，包括规则的动作、过滤器、监听器等。,id,规则ID，唯一标识每一条规则记录,create_by,创建者，记录创建该规则记录的用户ID,create_dept,创建部门，记录创建该规则记录的部门ID,create_time,创建时间，记录规则记录的创建时间,update_by,更新者，记录更新该规则记录的用户ID,update_time,更新时间，记录规则记录的最后更新时间,actions,动作，描述规则触发时需要执行的操作或动作,create_at,规则创建时间，记录规则的创建时间（Unix时间戳）,NULL,描述，描述该规则的功能和用途,filters,过滤器，定义规则应用的条件,listeners,监听器，描述规则触发时的事件监听器,name,规则名称，标识该规则的名称,state,状态，表示规则当前的状态（如启用、禁用等）,tenant_id,租户ID，标识该规则所属的租户,type,规则类型，表示规则的类型（例如：业务规则、系统规则等）,uid,用户ID，表示该规则所属的用户
screen,该SQL文件用于创建屏幕信息表 screen。 --     该表用于记录屏幕的详细信息，包括屏幕名称、端口、资源文件等。,id,主键id，唯一标识每一条屏幕记录,create_at,创建时间，记录屏幕的创建时间（Unix时间戳）,is_default,是否为默认屏幕，0表示不是默认，1表示是默认屏幕,name,屏幕名称，标识该屏幕的名称,port,端口号，标识屏幕的端口配置,resource_file,资源文件路径，存储屏幕所需的资源文件,state,屏幕状态，表示屏幕当前的状态（如启用、禁用等）
